Timestamp,High/Low,Pred(Ft),Pred(cm)
2021-03-03 00:45:00+00:00,L,-0.75,-23
2021-03-03 06:54:00+00:00,H,8.5,259
2021-03-03 13:22:00+00:00,L,-0.91,-28
2021-03-03 19:23:00+00:00,H,7.6,232
2021-03-04 01:37:00+00:00,L,-0.48,-15
2021-03-04 07:47:00+00:00,H,8.34,254
2021-03-04 14:20:00+00:00,L,-0.68,-21
2021-03-04 20:20:00+00:00,H,7.23,220
2021-03-05 02:35:00+00:00,L,-0.15,-5
2021-03-05 08:45:00+00:00,H,8.05,245
2021-03-05 15:23:00+00:00,L,-0.4,-12
2021-03-05 21:23:00+00:00,H,6.87,209
2021-03-06 03:40:00+00:00,L,0.17,5
2021-03-06 09:50:00+00:00,H,7.74,236
2021-03-06 16:30:00+00:00,L,-0.19,-6
2021-03-06 22:33:00+00:00,H,6.62,202
2021-03-07 04:49:00+00:00,L,0.38,12
2021-03-07 11:01:00+00:00,H,7.51,229
2021-03-07 17:38:00+00:00,L,-0.09,-3
2021-03-07 23:47:00+00:00,H,6.57,200
2021-03-08 05:58:00+00:00,L,0.43,13
2021-03-08 12:12:00+00:00,H,7.43,226
2021-03-08 18:44:00+00:00,L,-0.12,-4
2021-03-09 00:55:00+00:00,H,6.71,205
2021-03-09 07:03:00+00:00,L,0.34,10
2021-03-09 13:17:00+00:00,H,7.46,227
2021-03-09 19:43:00+00:00,L,-0.22,-7
2021-03-10 01:55:00+00:00,H,6.92,211
2021-03-10 08:02:00+00:00,L,0.19,6
2021-03-10 14:13:00+00:00,H,7.52,229
2021-03-10 20:36:00+00:00,L,-0.3,-9
2021-03-11 02:46:00+00:00,H,7.12,217
2021-03-11 08:54:00+00:00,L,0.04,1
2021-03-11 15:03:00+00:00,H,7.53,230
2021-03-11 21:22:00+00:00,L,-0.32,-10
2021-03-12 03:30:00+00:00,H,7.26,221
2021-03-12 09:40:00+00:00,L,-0.06,-2
2021-03-12 15:46:00+00:00,H,7.47,228
2021-03-12 22:03:00+00:00,L,-0.26,-8
2021-03-13 04:09:00+00:00,H,7.33,223
2021-03-13 10:22:00+00:00,L,-0.09,-3
2021-03-13 16:25:00+00:00,H,7.36,224
2021-03-13 22:40:00+00:00,L,-0.12,-4
2021-03-14 04:43:00+00:00,H,7.36,224
2021-03-14 11:00:00+00:00,L,-0.06,-2
2021-03-14 17:00:00+00:00,H,7.21,220
2021-03-14 23:15:00+00:00,L,0.07,2
2021-03-15 05:16:00+00:00,H,7.35,224
2021-03-15 11:36:00+00:00,L,0.01,0
2021-03-15 17:35:00+00:00,H,7.04,215
2021-03-15 23:49:00+00:00,L,0.28,9
2021-03-16 05:48:00+00:00,H,7.31,223
2021-03-16 12:13:00+00:00,L,0.13,4
2021-03-16 18:10:00+00:00,H,6.85,209
2021-03-17 00:24:00+00:00,L,0.51,16
2021-03-17 06:23:00+00:00,H,7.24,221
2021-03-17 12:51:00+00:00,L,0.29,9
2021-03-17 18:48:00+00:00,H,6.64,202
2021-03-18 01:01:00+00:00,L,0.76,23
2021-03-18 07:02:00+00:00,H,7.11,217
2021-03-18 13:33:00+00:00,L,0.5,15
2021-03-18 19:30:00+00:00,H,6.39,195
2021-03-19 01:42:00+00:00,L,1.02,31
2021-03-19 07:45:00+00:00,H,6.94,212
2021-03-19 14:21:00+00:00,L,0.72,22
2021-03-19 20:16:00+00:00,H,6.13,187
2021-03-20 02:30:00+00:00,L,1.28,39
2021-03-20 08:33:00+00:00,H,6.75,206
2021-03-20 15:15:00+00:00,L,0.92,28
2021-03-20 21:09:00+00:00,H,5.91,180
2021-03-21 03:26:00+00:00,L,1.47,45
2021-03-21 09:28:00+00:00,H,6.59,201
2021-03-21 16:15:00+00:00,L,1.02,31
2021-03-21 22:09:00+00:00,H,5.79,176
2021-03-22 04:27:00+00:00,L,1.54,47
2021-03-22 10:29:00+00:00,H,6.53,199
2021-03-22 17:16:00+00:00,L,0.98,30
2021-03-22 23:13:00+00:00,H,5.86,179
2021-03-23 05:30:00+00:00,L,1.43,44
2021-03-23 11:32:00+00:00,H,6.63,202
2021-03-23 18:13:00+00:00,L,0.8,24
2021-03-24 00:14:00+00:00,H,6.13,187
2021-03-24 06:29:00+00:00,L,1.14,35
2021-03-24 12:31:00+00:00,H,6.88,210
2021-03-24 19:06:00+00:00,L,0.52,16
2021-03-25 01:07:00+00:00,H,6.56,200
2021-03-25 07:24:00+00:00,L,0.71,22
2021-03-25 13:25:00+00:00,H,7.21,220
2021-03-25 19:54:00+00:00,L,0.17,5
2021-03-26 01:55:00+00:00,H,7.1,216
2021-03-26 08:14:00+00:00,L,0.19,6
2021-03-26 14:15:00+00:00,H,7.57,231
2021-03-26 20:39:00+00:00,L,-0.18,-5
2021-03-27 02:40:00+00:00,H,7.67,234
2021-03-27 09:01:00+00:00,L,-0.34,-10
2021-03-27 15:02:00+00:00,H,7.89,240
2021-03-27 21:22:00+00:00,L,-0.49,-15
2021-03-28 03:24:00+00:00,H,8.21,250
2021-03-28 09:47:00+00:00,L,-0.82,-25
2021-03-28 15:48:00+00:00,H,8.13,248
2021-03-28 22:05:00+00:00,L,-0.73,-22
2021-03-29 04:08:00+00:00,H,8.65,264
2021-03-29 10:33:00+00:00,L,-1.16,-35
2021-03-29 16:35:00+00:00,H,8.25,251
2021-03-29 22:49:00+00:00,L,-0.84,-26
2021-03-30 04:54:00+00:00,H,8.93,272
2021-03-30 11:21:00+00:00,L,-1.32,-40
2021-03-30 17:23:00+00:00,H,8.22,251
2021-03-30 23:35:00+00:00,L,-0.81,-25
2021-03-31 05:42:00+00:00,H,8.99,274
2021-03-31 12:10:00+00:00,L,-1.28,-39
2021-03-31 18:13:00+00:00,H,8.05,245
2021-04-01 00:25:00+00:00,L,-0.62,-19
2021-04-01 06:33:00+00:00,H,8.85,270
2021-04-01 13:04:00+00:00,L,-1.04,-32
2021-04-01 19:07:00+00:00,H,7.75,236
2021-04-02 01:19:00+00:00,L,-0.3,-9
2021-04-02 07:27:00+00:00,H,8.53,260
2021-04-02 14:02:00+00:00,L,-0.69,-21
2021-04-02 20:05:00+00:00,H,7.39,225
2021-04-03 02:19:00+00:00,L,0.07,2
2021-04-03 08:27:00+00:00,H,8.1,247
2021-04-03 15:05:00+00:00,L,-0.31,-9
2021-04-03 21:09:00+00:00,H,7.05,215
2021-04-04 03:26:00+00:00,L,0.4,12
2021-04-04 09:34:00+00:00,H,7.68,234
2021-04-04 16:12:00+00:00,L,-0.01,0
2021-04-04 22:20:00+00:00,H,6.83,208
2021-04-05 04:36:00+00:00,L,0.59,18
2021-04-05 10:46:00+00:00,H,7.38,225
2021-04-05 17:19:00+00:00,L,0.14,4
2021-04-05 23:32:00+00:00,H,6.82,208
2021-04-06 05:45:00+00:00,L,0.6,18
2021-04-06 11:58:00+00:00,H,7.26,221
2021-04-06 18:23:00+00:00,L,0.17,5
2021-04-07 00:38:00+00:00,H,6.97,212
2021-04-07 06:49:00+00:00,L,0.49,15
2021-04-07 13:02:00+00:00,H,7.26,221
2021-04-07 19:21:00+00:00,L,0.14,4
2021-04-08 01:35:00+00:00,H,7.17,219
2021-04-08 07:46:00+00:00,L,0.32,10
2021-04-08 13:57:00+00:00,H,7.29,222
2021-04-08 20:11:00+00:00,L,0.12,4
2021-04-09 02:23:00+00:00,H,7.34,224
2021-04-09 08:36:00+00:00,L,0.17,5
2021-04-09 14:44:00+00:00,H,7.28,222
2021-04-09 20:56:00+00:00,L,0.16,5
2021-04-10 03:04:00+00:00,H,7.44,227
2021-04-10 09:20:00+00:00,L,0.07,2
2021-04-10 15:25:00+00:00,H,7.23,220
2021-04-10 21:35:00+00:00,L,0.26,8
2021-04-11 03:40:00+00:00,H,7.47,228
2021-04-11 09:59:00+00:00,L,0.04,1
2021-04-11 16:02:00+00:00,H,7.13,217
2021-04-11 22:11:00+00:00,L,0.4,12
2021-04-12 04:12:00+00:00,H,7.47,228
2021-04-12 10:34:00+00:00,L,0.06,2
2021-04-12 16:35:00+00:00,H,7.03,214
2021-04-12 22:44:00+00:00,L,0.56,17
2021-04-13 04:42:00+00:00,H,7.46,227
2021-04-13 11:09:00+00:00,L,0.12,4
2021-04-13 17:07:00+00:00,H,6.92,211
2021-04-13 23:17:00+00:00,L,0.72,22
2021-04-14 05:14:00+00:00,H,7.43,226
2021-04-14 11:43:00+00:00,L,0.22,7
2021-04-14 17:41:00+00:00,H,6.8,207
2021-04-14 23:50:00+00:00,L,0.89,27
2021-04-15 05:48:00+00:00,H,7.37,225
2021-04-15 12:19:00+00:00,L,0.36,11
2021-04-15 18:17:00+00:00,H,6.66,203
2021-04-16 00:25:00+00:00,L,1.07,33
2021-04-16 06:26:00+00:00,H,7.27,222
2021-04-16 12:59:00+00:00,L,0.53,16
2021-04-16 18:58:00+00:00,H,6.5,198
2021-04-17 01:06:00+00:00,L,1.26,38
2021-04-17 07:09:00+00:00,H,7.12,217
2021-04-17 13:44:00+00:00,L,0.73,22
2021-04-17 19:44:00+00:00,H,6.33,193
2021-04-18 01:53:00+00:00,L,1.44,44
2021-04-18 07:57:00+00:00,H,6.95,212
2021-04-18 14:36:00+00:00,L,0.9,27
2021-04-18 20:35:00+00:00,H,6.2,189
2021-04-19 02:48:00+00:00,L,1.57,48
2021-04-19 08:51:00+00:00,H,6.79,207
2021-04-19 15:33:00+00:00,L,0.99,30
2021-04-19 21:32:00+00:00,H,6.18,188
2021-04-20 03:51:00+00:00,L,1.56,48
2021-04-20 09:51:00+00:00,H,6.72,205
2021-04-20 16:33:00+00:00,L,0.97,30
2021-04-20 22:34:00+00:00,H,6.32,193
2021-04-21 04:55:00+00:00,L,1.38,42
2021-04-21 10:54:00+00:00,H,6.78,207
2021-04-21 17:31:00+00:00,L,0.81,25
2021-04-21 23:34:00+00:00,H,6.66,203
2021-04-22 05:56:00+00:00,L,1.0,30
2021-04-22 11:56:00+00:00,H,6.99,213
2021-04-22 18:25:00+00:00,L,0.56,17
2021-04-23 00:29:00+00:00,H,7.15,218
2021-04-23 06:53:00+00:00,L,0.49,15
2021-04-23 12:54:00+00:00,H,7.29,222
2021-04-23 19:16:00+00:00,L,0.25,8
2021-04-24 01:20:00+00:00,H,7.72,235
2021-04-24 07:46:00+00:00,L,-0.08,-2
2021-04-24 13:47:00+00:00,H,7.63,233
2021-04-24 20:04:00+00:00,L,-0.07,-2
2021-04-25 02:08:00+00:00,H,8.29,253
2021-04-25 08:36:00+00:00,L,-0.62,-19
2021-04-25 14:37:00+00:00,H,7.93,242
2021-04-25 20:51:00+00:00,L,-0.36,-11
2021-04-26 02:55:00+00:00,H,8.78,268
2021-04-26 09:25:00+00:00,L,-1.07,-33
2021-04-26 15:26:00+00:00,H,8.15,248
2021-04-26 21:38:00+00:00,L,-0.56,-17
2021-04-27 03:43:00+00:00,H,9.12,278
2021-04-27 10:13:00+00:00,L,-1.34,-41
2021-04-27 16:15:00+00:00,H,8.26,252
2021-04-27 22:26:00+00:00,L,-0.65,-20
2021-04-28 04:31:00+00:00,H,9.27,283
2021-04-28 11:02:00+00:00,L,-1.42,-43
2021-04-28 17:05:00+00:00,H,8.22,251
2021-04-28 23:15:00+00:00,L,-0.59,-18
2021-04-29 05:21:00+00:00,H,9.21,281
2021-04-29 11:53:00+00:00,L,-1.29,-39
2021-04-29 17:57:00+00:00,H,8.07,246
2021-04-30 00:07:00+00:00,L,-0.39,-12
2021-04-30 06:14:00+00:00,H,8.94,272
2021-04-30 12:47:00+00:00,L,-1.0,-30
2021-04-30 18:52:00+00:00,H,7.81,238
2021-05-01 01:03:00+00:00,L,-0.08,-2
2021-05-01 07:10:00+00:00,H,8.53,260
2021-05-01 13:45:00+00:00,L,-0.61,-19
2021-05-01 19:50:00+00:00,H,7.52,229
2021-05-02 02:05:00+00:00,L,0.27,8
2021-05-02 08:10:00+00:00,H,8.05,245
2021-05-02 14:46:00+00:00,L,-0.22,-7
2021-05-02 20:54:00+00:00,H,7.26,221
2021-05-03 03:11:00+00:00,L,0.55,17
2021-05-03 09:16:00+00:00,H,7.59,231
2021-05-03 15:50:00+00:00,L,0.09,3
2021-05-03 22:02:00+00:00,H,7.11,217
2021-05-04 04:19:00+00:00,L,0.7,21
2021-05-04 10:26:00+00:00,H,7.26,221
2021-05-04 16:54:00+00:00,L,0.3,9
2021-05-04 23:09:00+00:00,H,7.1,216
2021-05-05 05:25:00+00:00,L,0.69,21
2021-05-05 11:35:00+00:00,H,7.08,216
2021-05-05 17:54:00+00:00,L,0.41,12
2021-05-06 00:11:00+00:00,H,7.21,220
2021-05-06 06:27:00+00:00,L,0.58,18
2021-05-06 12:37:00+00:00,H,7.03,214
2021-05-06 18:50:00+00:00,L,0.47,14
2021-05-07 01:05:00+00:00,H,7.35,224
2021-05-07 07:22:00+00:00,L,0.43,13
2021-05-07 13:31:00+00:00,H,7.01,214
2021-05-07 19:40:00+00:00,L,0.54,16
2021-05-08 01:52:00+00:00,H,7.45,227
2021-05-08 08:10:00+00:00,L,0.3,9
2021-05-08 14:18:00+00:00,H,6.99,213
2021-05-08 20:24:00+00:00,L,0.62,19
2021-05-09 02:32:00+00:00,H,7.5,229
2021-05-09 08:54:00+00:00,L,0.22,7
2021-05-09 14:59:00+00:00,H,6.94,212
2021-05-09 21:04:00+00:00,L,0.73,22
2021-05-10 03:07:00+00:00,H,7.51,229
2021-05-10 09:32:00+00:00,L,0.19,6
2021-05-10 15:35:00+00:00,H,6.87,209
2021-05-10 21:40:00+00:00,L,0.85,26
2021-05-11 03:39:00+00:00,H,7.5,229
2021-05-11 10:08:00+00:00,L,0.21,6
2021-05-11 16:09:00+00:00,H,6.8,207
2021-05-11 22:14:00+00:00,L,0.97,30
2021-05-12 04:10:00+00:00,H,7.49,228
2021-05-12 10:43:00+00:00,L,0.25,8
2021-05-12 16:41:00+00:00,H,6.74,205
2021-05-12 22:47:00+00:00,L,1.07,33
2021-05-13 04:43:00+00:00,H,7.47,228
2021-05-13 11:17:00+00:00,L,0.32,10
2021-05-13 17:15:00+00:00,H,6.69,204
2021-05-13 23:21:00+00:00,L,1.17,36
2021-05-14 05:18:00+00:00,H,7.43,226
2021-05-14 11:53:00+00:00,L,0.41,12
2021-05-14 17:52:00+00:00,H,6.64,202
2021-05-14 23:57:00+00:00,L,1.27,39
2021-05-15 05:57:00+00:00,H,7.37,225
2021-05-15 12:32:00+00:00,L,0.52,16
2021-05-15 18:32:00+00:00,H,6.59,201
2021-05-16 00:38:00+00:00,L,1.36,41
2021-05-16 06:40:00+00:00,H,7.28,222
2021-05-16 13:15:00+00:00,L,0.63,19
2021-05-16 19:18:00+00:00,H,6.56,200
2021-05-17 01:25:00+00:00,L,1.44,44
2021-05-17 07:28:00+00:00,H,7.15,218
2021-05-17 14:04:00+00:00,L,0.73,22
2021-05-17 20:07:00+00:00,H,6.57,200
2021-05-18 02:20:00+00:00,L,1.46,45
2021-05-18 08:21:00+00:00,H,7.03,214
2021-05-18 14:57:00+00:00,L,0.79,24
2021-05-18 21:01:00+00:00,H,6.67,203
2021-05-19 03:21:00+00:00,L,1.36,41
2021-05-19 09:19:00+00:00,H,6.95,212
2021-05-19 15:54:00+00:00,L,0.78,24
2021-05-19 21:59:00+00:00,H,6.9,210
2021-05-20 04:24:00+00:00,L,1.11,34
2021-05-20 10:21:00+00:00,H,6.95,212
2021-05-20 16:50:00+00:00,L,0.67,20
2021-05-20 22:57:00+00:00,H,7.25,221
2021-05-21 05:25:00+00:00,L,0.72,22
2021-05-21 11:23:00+00:00,H,7.07,215
2021-05-21 17:46:00+00:00,L,0.5,15
2021-05-21 23:53:00+00:00,H,7.71,235
2021-05-22 06:24:00+00:00,L,0.23,7
2021-05-22 12:24:00+00:00,H,7.29,222
